"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|NO5","Without sequence","28.76","",""
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|NO5","Without sequence","28.79","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|NO5","Without sequence","28.9","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|NO5","Without sequence","29.01","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|NO5","Without sequence","29.06","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|NO5","Without sequence","29.58","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|NO5","Without sequence","29.58","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|NO5","Without sequence","29.96","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|NO5","Without sequence","30.05","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|NO5","Without sequence","30.09","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|NO5","Without sequence","30.83","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|NO5","Without sequence","32.04","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|NO5","Without sequence","31.25","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|NO5","Without sequence","30.96","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|NO5","Without sequence","30.24","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|NO5","Without sequence","29.96","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|NO5","Without sequence","29.89","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|NO5","Without sequence","30.38","",""
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|NO5","Without sequence","30.34","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|NO5","Without sequence","31.06","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|NO5","Without sequence","31.18","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|NO5","Without sequence","31.6","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|NO5","Without sequence","31.55","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|NO5","Without sequence","31.22","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|NO5","Without sequence","30.93","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|NO5","Without sequence","30.67","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|NO5","Without sequence","30.79","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|NO5","Without sequence","31.16","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|NO5","Without sequence","31.53","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|NO5","Without sequence","31.1","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|NO5","Without sequence","30.42","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|NO5","Without sequence","29.87","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|NO5","Without sequence","29.61","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|NO5","Without sequence","29.46","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|NO5","Without sequence","29.52","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|NO5","Without sequence","29.16","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|NO5","Without sequence","29.07","",""
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|NO5","Without sequence","29.08","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|NO5","Without sequence","28.66","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|NO5","Without sequence","29.08","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|NO5","Without sequence","29.65","",""
"06/01/2020 06:00:00 - 06/01/2020 07:00:00","BZN|NO5","Without sequence","30.71","",""
"06/01/2020 07:00:00 - 06/01/2020 08:00:00","BZN|NO5","Without sequence","30.92","",""
"06/01/2020 08:00:00 - 06/01/2020 09:00:00","BZN|NO5","Without sequence","30.9","",""
